ID;Titre;Prénom1;Nom1;Prénom2;Nom2;Prénom3;Nom3;Pitch;jour;plage;ID-ctrl;Niveau;Objectif;Salle;Time
1;"Créez vos jeux pédagogiques pour parler de vos sujets sérieux";"Grégory";"ALEXANDRE";"";"";"";"";"Je propose à toutes celles et ceux qui désirent former autrement, partager leurs informations et connaissances de façon participative, de découvrir les vertus du  jeu pédagogique et les étapes fondamentales pour créer des jeux physiques pédagogiques.<br>Cette conférence vous permettra de faire la différence entre Serious Game et Gamification, de comprendre l'intérêt de ces outils, de vous inspirer d'exemples concrets et de retours d'expériences.<br>Pas de connaissance particulière requise mais une appétence pour le jeu et l'envie de partage.";"Jeudi matin";"Long 1";"1";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Chalet 1";"09h50 - 10h50"
4;"#LostInTransformation : revenons aux bases";"Laetitia";"THERNIER";"Régis";"SCHNEIDER";"";"";"Vous accompagnez des transformations et vous avez des difficultés pour expliquer votre démarche ?<br>Vous promouvez des transformations et vous ne comprenez pas ce que font encore ces coachs ?<br>Vous avez des difficultés à vous engager dans une transformation personnelle ?<br>Bref, vous êtes perdus dans ces transformations ! Et si nous oublions ces modèles très compliqués...<br>Sur le principe des poupées russes où un même modèle est répété à différents niveaux, cet atelier propose d’explorer 3 thèmes essentiels sur 3 niveaux : individu, équipe et organisation. Ce voyage offrira une nouvelle grille de lecture aux transformations que vous vivez au quotidien.";"Vendredi Après-midi";"Atelier";"4";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Chalet 3";"14h10 - 16h10"
5;"Dynamique de Groupe et Cohésion selon la théorie organisationnelle de Berne, Petit Guide de survie pour Leader Jedi";"Anne-Sophie";"GIRAULT LE MAULT";"";"";"";"";"L’ AT organisationnelle offre des trésors de compréhension pour tous les facilitateurs. Parce qu’elle s’intéresse à la relation entre les individus, elle complète l’agilité et répond à ses valeurs. Qu’est ce qu’est-ce qu’un groupe, en quoi se distingue-t-il d’une masse ou d’une foule, quelle nuance avec une organisation, et quels sont les processus relationnels qui s’activent sur ses frontières, entre pression et agitation qui sous tendent la gestion de différentes énergies ? Puis, le leadership et ses fonctions d’appareil pour permettre de traiter le sujet de la cohésion. Comprendre ce qu’est la cohésion de groupe, ce qui la crée mais aussi la détruit : du bouc-émissaire, en passant par le secret, la loyauté, la confiance, l’engagement. De l’erreur à la trahison, autant de configurations possibles qui imposent de comprendre comment se déroule la gestion des flux d’énergie individuels et collectifs. Agir sur ce champ de forces à l’oeuvre. En chacun de nous sommeille un maitre Jedi.";"Vendredi Après-midi";"Court 3";"5";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Belvédère";"16h40 - 17h10"
6;"L'atomic design";"Aurelie";"AMBAL";"";"";"";"";"L'atomic Design est une méthodologie pour concevoir des systèmes de conception d'interface.<br>L'ayant expérimenté sur une année complète cela m'a permis de mener à bien la refonte du tunnel d'achat d'un des plus gros site ecommerce français avec une petite équipe agile de 4 personnes. En tant que lead front sur ce projet c'est la meilleur chose que j'ai pu mettre en place. Je l'ai testé, amélioré et adopté !<br>Ca m'a permis de rendre mes composants réutilisable, ça m'a aidé a tester mon code, à le rendre scalable et fiable. Enfin ça à décuplé la confiance et la compréhension du métier en offrant une vision claire des composants et de leur composition.<br>Tout le monde pourraient être interessé par cette présentation. Aucune connaissances préalables n'est nécessaire, mais c'est un plus d'avoir des bases en développement/design.<br>Les participants pourront découvrir et/ou avoir une meilleure connaissance de ce qu'est réellement l'atomic design, et comme je l'espère l'envie de l'expérimenter.";"Vendredi Après-midi";"Court 3";"6";"Shu (apprendre les fondamentaux)";"Expliquer des bases ET Partager une expérience";"Chalet 2";"16h40 - 17h10"
11;"SCRUMind : le mille-borne agile";"François-Xavier";"LEONETTI";"Amélie";"PLEAU";"";"";"Rien ne se passe jamais comme sur le papier ! Pour s’initier à cette maxime et jouer à la vie opérationnelle, nous proposons une session de jeu SCRUmind, jeu de carte inspiré du mille bornes.<br>Au lieu de cumuler des kilomètres, délivrez un maximum de valeur en faisant face aux embûches que vous tendra l’antiscrum (un des joueurs) ! Par exemple, l'équipe devra imaginer comment faire face à l'absence d'un PO, une surprise en production, un conflit avec le sponsor, tout en surveillant le moral de l'équipe !<br>Objectifs pédagogiques<br>- Découvrir des événements difficiles auxquels faire face dans la pratique du SCRUM<br>- Reconnaître sa capacité de réponse à l’adversité et se la réapproprier<br>- Apprendre à réfléchir aux moyens de réponse collectifs et les cultiver<br>- Savoir se recentrer régulièrement sur la valeur";"Vendredi matin";"Long 2 + 3";"11";"Ha (casser avec la tradition)";"Faire vivre une pratique";"Hall Chalet";"Long 2 + 3"
14;"Les développeurs et les fonctionnalités, plus que les sprints et les daily meetings";"Arnaud";"PICHERY";"";"";"";"";"Ces derniers mois, après plusieurs semi-échecs et beaucoup de frustration, nous avons imaginé une nouvelle méthode pour développer les nouvelles fonctionnalités de notre logiciel. Après plusieurs itérations pour l'améliorer, nous l'utilisons aujourd'hui pour tous nos développements.<br>Contrairement aux pratiques agiles habituelles où l'équipe est le point central, cette méthode place les développeurs et les fonctionnalités qu'ils développent au coeur du jeu.<br>Les développeurs (en binôme) sont les uniques responsables de la livraison de la fonctionnalité qu'ils ont choisi. Ils donner le rythme d'avancement. Phase de définition du besoin et des impacts sur le logiciel, puis kick-off de lancement, développements itératifs, pré-recette, et enfin finitions et livraison.<br>Le reste des équipes (PM, QA, UX, CTO, ...) intervient tout au long de ce processus en soutien des développeurs pour les aider au mieux dans leurs tâches, à leur demande ou régulièrement.";"Vendredi Après-midi";"Court 3";"14";"Ha (casser avec la tradition)";"Partager une expérience";"Chalet 3";"16h40 - 17h10"
15;"Priotour : jouer à prioriser collectivement";"Yann";"GOWSY";"Alexandre";"QUACH";"";"";"Pitch :<br>Cela vous est-il arrivé d’avoir TROP de choses à faire ? A l’ère de l’infobésité, qui n’est pas surchargé(e) ? Et par extension : Quelle équipe n’est pas surchargée ? La réponse classique ? « Tu n’as qu’à prioriser ! ».<br>Une fois sur le terrain, ce n’est pas si facile !<br>Pour se tenir prêts, il nous faudrait alors un petit florilège de techniques collectives, ou individuelles de priorisation, répondant à une contrainte (« nous sommes beaucoup à décider », « il y a plein d’éléments », « tout n’est pas précis », ...)<br>Publics préférentiels : Toute personne en position de prendre une décision ou d'y participer.<br>Connaissances préalables : Aucune<br>Que retireront les participant(e)s : Un ensemble de techniques de priorisation collective, qu'ils auront déjà pratiqué au moins une fois pendant l'atelier. Les ressources sont libres d'utilisation et ouvertes (format #OpenSeriousGame), chaque participant(e) pourra donc aussi animer l'atelier une fois de retour à son environnement.";"Vendredi matin";"Long 2 + 3";"15";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Chalet 4";"09h30 - 11h50"
17;"Hackez vos réunions avec les Liberating Structures";"Anne";"GABRILLAGUES";"";"";"";"";"Avez-vous déjà vécu des réunions épouvantablement ennuyeuses ? L’application aveugle des Best Practices pensées par d’autres ? Les interrogations des managers sur le mutisme des collaborateurs ou leur manque d’implication ? La mise à l’écart de certains collaborateurs parce qu’ils ralentissent le groupe ? La déception engendrée par le fait que les idées d’amélioration ne sont jamais mises en place ?<br>Vous souhaitez développer l’intelligence collective de vos équipes de façon efficace, ludique et rapide ?<br>Venez découvrir en quoi les “Liberating Structures” permettent de libérer la parole, d'inclure tous les participants dans les échanges et la prise de décision et favorisent une participation active dans des groupes de toute taille.";"Vendredi Après-midi";"Atelier";"17";"Shu (apprendre les fondamentaux)";"Expliquer les bases au format conférence / faire vivre une pratique au format atelier";"Chalet 2";"14h10 - 16h10"
18;"Comment j'ai switché mon cerveau";"Aurélien";"WILLE";"";"";"";"";"Cette conférence/atelier s’adresse à tou-te-s les curieux-ses, explorateur-rice-s et passionné-e-s de la relation humaine… et des problèmes qui vont avec.<BR>« Solution Focus » est un outil, aussi simple que génial, pour aborder vos blocages et freins avec plaisir. (Oui, oui ! Vous avez bien lu)<BR>En toute humilité et transparence, on vous propose de :<BR>- Renouer avec l’idée que vous êtes le ou la seul-e expert-e de tous les aspects de votre vie<BR>- Vous faire vivre une connexion singulière à vos propres ressources<BR>- Vous centrer sur les possibilités et les choix qui s’offrent à vous, plutôt que sur les déficits<BR>Cerise sur le gâteau, on ira aussi faire un tour dans les coulisses des neurosciences, pour comprendre comment et pourquoi la technique Solution Focus est aussi efficace ! Juste de quoi alimenter vos réflexions et nourrir vos prises de recul pour quelques temps. Are you ready ?!";"Jeudi matin";"Long 1";"18";"Shu (apprendre les fondamentaux)";"Faire vivre une pratique";"Chalet 1";"09h50 - 10h50"
22;"Ras le bol des méthodes agiles, passons aux méthodes rigides !!";"Mickaël";"ANDRE";"";"";"";"";"Public visé :<br>Toutes les personnes pratiquant l'agilité et idéalement avec quelques connaissances des Frameworks (Scrum, Kanban, SAFe), donc un public non novice, avec le goût pour le second degré :)<br>Description :<br>L'agilité, on est tous d'accord, ça ne marche pas, alors passons aux méthodes rigides !<br>Dans ce retour d’expérience, nous verrons les bénéfices des « méthodes rigides » avec notamment :<br>- Le « manifeste rigide »<br>- Le cadre « SCRAFe » (c)<br>- Pleins de belles pratiques : Des silos, de beaux effets tunnels, du top-down et du management rigide, des rétrospectives pour régler ses comptes et chercher les coupables, pleins d’outils ayant pour seul objectif de contrôler, etc.<br>- Des dizaines de nouvelles certifications (très très chères et qui servent pas à grand chose sauf à frimer)<br>- Et bien évidemment un retour d’expérience de mise en place des « méthodes rigides » dans une équipe qui n’avait rien demandé";"Vendredi matin";"Long 2";"22";"Ha (casser avec la tradition)";"Faire rire / provoquer / faire réfléchir";"Belvédère";"09h30 - 10h30"
